# 第9回「おたる案内人」検定試験解答
# 受験: 1級・2級
問1: 3
問2: 2
問3: 2
問4: 4
問5: 3番目
問6: ホーレス・ケプロン
問7: 129又は130
問8A: 1
問8B: 4
問9: 3
問10: 4
問11: 土間
問12A: 余市
問12B: 猪俣
問13: 2
問14: 2
問15: 3
問16: 3
問17: 3
問18: 3
問19: 2
問20: 鰊又は〆粕
問21: 右近権左衛門
問22: 住吉神社
問23: 西谷庄八
問24: 2
問25: 印(しるし)
問26: 3
問27: 3
問28: 金子元三郎
問29: 1
問30: 4
問31: 3
問32: 中越銀行
問33: 高橋直治
問34: 3
問35: 北垣国道
問36: 3
問37: 2
問38: 3
問39: 4
問40: 勝納埠頭
問41: 榎本武揚
問42: 1
問43: 石炭又は鉱石
問44: 4
問45: 1
問46: 3
問47: 1
問48: 2
問49: 石造倉庫
問50: 4
問51: 1
問52: 大火
問53: 3
問54A: 横板張り又は下見板張り
問54B: 縦長窓又は上げ下げ窓
問55: 2
問56: 平井晴二郎
問57: 旧日本郵船(株)小樽支店
問58: 4
問59: 3
問60: 2
問61: 2
問62: 龍宮閣
問63: 坂牛邸
問64: 3
問65: 漁業用浮玉
問66: 3
問67: 1
問68: 3
問69: 金子誠治
問70: 3
問71: 4
問72: 3
問73: 2
問74: 2
問75: 2
問76: 浄応寺の坂
問77: 2
問78: 3
問79: 3
問80: 1
問81: 2
問82: 3
問83: 小樽地方合同庁舎
問84: 3
問85: 3
問86: 2
問87: 山ニわたなべ
問88: 1
問89: ヘルメス
問90: ホスピタリティ
問91: 1
問92: 2
問93: 1
問94: 1
問95A: 2
問95B: 1
問95C: 2
