# 第15回「おたる案内人」検定試験 解答
受験: 1級・2級
問1: 近江
問2: 4
問3: 2
問4: 4
問5: 黒田清隆
問6: 4
問7: 3
問8: 2
問9: 4
問10: 商場または場所
問11: 茨木家中出張番屋
問12A: 3
問12B: 1
問13: 4
問14: 4
問15: 750
問16A: 2
問16B: 3
問17: 4
問18: 2
問19: 4
問20: 2
問21A: 大家七平
問21B: ヤマシチ
問22: 大家七平
問23: 1
問24: 西谷 庄八
問25: 沼田喜三郎
問26: 石橋彦三郎
問27: 4
問28: 2
問29: 1
問30: 2
問31: 4
問32: 重要港湾
問33: 2
問34: 4
問35: 4
問36: 1
問37: 1
問38: 勝納埠頭
問39: ライマン
問40: 3
問41: イギリス
問42: 3
問43: 1
問44: 2
問45: 2
問46: 石造倉庫
問47: 2
問48: 2
問49: 4
問50: 1
問51: 3
問52A: 国指定重要文化財
問52B: 松本荘一郎
問53: 木骨石造
問54: 旧日本郵船（株）小樽支店
問55: 2
問56: 3
問57: 2
問58: 3
問59: 2
問60: アール・ヌーヴォー
問61: 3
問62: 4
問63: 木村倉庫
問64: 3
問65: モノタイプ
問66: 本間内科付近
問67: 野口 雨情
問68: 3
問69: 磯野支店倉庫
問70: 4
問71: 4
問72: 1
問73: 3
問74: 3
問75: 3
問76: 旧岡川薬局
問77: 4
問78: 小樽ゆき物語
問79: 3
問80: 4
問81: 2
問82: 1
問83: 4
問84A: 岡崎 謙
問84B: 宝川
問85: 4
問86: 2
問87: 1
問88: 真狩村
問89: 1
問90: 4
問91: ホスピタリティ
問92A: 3
問92B: 1
問92C: 1
問93: 3
