# 第12回「おたる案内人」検定試験解答
# 受験: 1級・2級
問1: 2
問2: 漁場
問3: 3
問4: 3
問5: 4
問6: 1
問7: 番号1、正解3〜5月
問8: 4
問9A: 近場所
問9B: 中場所
問10: 3
問11: 岡田
問12A: 2
問12B: 2
問13: 2
問14: 泊村
問15A: 2
問15B: 3
問16: 4
問17: 4
問18: 山陰
問19: 2
問20: 3
問21: 住吉神社
問22: 2
問23: 西出孫左衛門
問24: 2
問25: 西川
問26: 石橋彦三郎
問27: 2
問28: 藤山要吉
問29: 3
問30: 3
問31: 3
問32: 3
問33: 石造
問34: 平磯
問35: 2
問36: 4
問37: 2
問38: 2
問39: 3
問40: 3
問41: 2
問42: 3
問43: 2
問44: 義経トンネル又は張碓第五トンネル
問45: 1
問46: 小樽運河を守る会
問47: 長崎
問48: 3
問49: 木骨石造
問50A: れんが
問50B: 機関車庫
問51A: 平井晴二郎
問51B: 北海道庁本庁舎又は赤レンガ庁舎
問52: 旧日本郵船(株)小樽支店
問53: 1
問54: 3
問55: 2
問56: 1
問57: 1
問58: 2
問59: 3
問60: 三井銀行小樽支店
問61: 1
問62: 漁業用浮玉
問63: 3
問64: 中村善策
問65: 2
問66: 4
問67: 3
問68: 1
問69: 2
問70: 3
問71: 3
問72: 4
問73A: 4
問73B: 2
問74: 静屋通り
問75: 3
問76: 2
問77: 4
問78: 北浜橋
問79: 旧丸ヨ白方支店
問80: 4
問81: 3
問82: 3
問83: 3
問84A: 3
問84B: 2
問85: 神恵内村
問86: おもてなし、思いやり、感謝、癒し、優しさなど
問87: 4
問88A: 1
問88B: 1
問89A: 1
問89B: 4
問89C: 2
